measure,mean,std,model
accuracy_flap,0.6142832790724378,0.036120882107008936,LSTM
accuracy_jump,0.7977410000501367,0.018437933365763583,LSTM
f1_flap,0.4691500519937199,0.06120633798370361,LSTM
f1_jump,0.19846851070479757,0.25162855273008194,LSTM
precision_flap,0.6019917659172151,0.06778514277878929,LSTM
precision_jump,0.35169248422260474,0.3202502593604061,LSTM
recall_flap,0.3988889465953686,0.10272725586497193,LSTM
recall_jump,0.15222362475531892,0.20935960981237445,LSTM
specificity_flap,0.7884224062023494,0.08298313116383015,LSTM
specificity_jump,0.9682165853338777,0.028677666039184226,LSTM
accuracy_flap,0.6092590274442067,0.025480008276055368,Transformer
accuracy_jump,0.7733599543270436,0.013444177834173801,Transformer
f1_flap,0.4729620067531471,0.13406840811238735,Transformer
f1_jump,0.2064560826170733,0.2399011651547624,Transformer
precision_flap,0.5953058515286574,0.08594459461592771,Transformer
precision_jump,0.26292397660818717,0.2548154470896739,Transformer
recall_flap,0.4347821393692953,0.19508551249951447,Transformer
recall_jump,0.17942666886193584,0.22807416302708722,Transformer
specificity_flap,0.7568419527358223,0.13431933175358537,Transformer
specificity_jump,0.9300793092662379,0.0445786775570384,Transformer
